Type,Date,Executions,Success,Failed,Response Time (ms)
"Performance","Aug 22","74","127","15","509"
"Performance","Aug 23","97","53","9","107"
"Performance","Aug 24","98","92","17","513"
"Performance","Aug 25","95","102","17","178"
"Performance","Aug 26","107","83","24","259"
"Performance","Aug 27","109","108","11","364"
"Performance","Aug 28","110","100","21","151"
"Rule Performance","High Value Customer Alert","156","152","4","120"
"Rule Performance","Inventory Low Alert","89","85","4","95"
"Rule Performance","Payment Processing Rule","234","228","6","180"
"Rule Performance","Customer Support Escalation","67","65","2","150"
"Rule Performance","Fraud Detection","445","438","7","220"
"Action Performance","Email Notifications","234","230","4","85"
"Action Performance","SMS Alerts","156","152","4","120"
"Action Performance","Webhook Calls","189","182","7","95"
"Action Performance","Database Updates","445","438","7","45"
"Error Analysis","Network Timeout","23","45.1","Medium"
"Error Analysis","Invalid Data Format","18","35.3","Low"
"Error Analysis","Authentication Failed","7","13.7","High"
"Error Analysis","Rate Limit Exceeded","3","5.9","Medium"
